sistema,num_cicloe,calle_prin,calle_secu,colonia,alcaldia,latitud,longitud,sitio_de_e,estatus
Ecobici,171,Comercio,José Martí,Escandón,Miguel Hidalgo,19.4025195,-99.1781595,Arroyo,Instalada
Ecobici,172,General Francisco Murguía,José Martí,Escandón,Miguel Hidalgo,19.4034757,-99.1817166,Arroyo,Instalada
Ecobici,173,Minería,José Martí,Escandón,Miguel Hidalgo,19.401682,-99.176398,Arroyo,Instalada
Ecobici,174,Joaquín García Icazbalceta,Ignacio Manuel Altamirano,San Rafael,Cuauhtémoc,19.441114,-99.161636,Arroyo,Instalada
Ecobici,175,Mutualismo,José Martí,Escandón,Miguel Hidalgo,19.400767,-99.172533,Arroyo,Instalada
Ecobici,176,Av. Jesús García,Luis Donaldo Colosio,Buenavista,Cuauhtémoc,19.442717,-99.152262,Arroyo,Instalada
Ecobici,177,Benjamín Hill,Carlos Zetina,Hipódromo Condesa,Cuauhtémoc,19.408841,-99.181692,Arroyo,Instalada
Ecobici,178,Tamaulipas,Francisco Murguía,Hipódromo Condesa,Cuauhtémoc,19.406833,-99.180457,Arroyo,Instalada
Ecobici,179,Nuevo León,Quintana Roo,Hipódromo,Cuauhtémoc,19.404452,-99.171438,Camellón,Instalada
Ecobici,180,Quintana Roo,Villahermosa,Hipódromo,Cuauhtémoc,19.404554,-99.169953,Arroyo,Instalada
Ecobici,181,Benjamín Franklin,Ometusco,Hipódromo,Cuauhtémoc,19.404733,-99.174461,Arroyo,Instalada
Ecobici,182,Progreso,Astrónomos,Escandón,Miguel Hidalgo,19.40198,-99.17132,Arroyo,Instalada
Ecobici,183,Gabino Barreda,Guillermo Prieto,San Rafael,Cuauhtémoc,19.437665,-99.164018,Arroyo,Instalada
Ecobici,184,General Gómez Pedraza,Gobernador Tiburcio Montiel,San Miguel Chapultepec,Miguel Hidalgo,19.414793,-99.185083,Arroyo,Instalada
Ecobici,185,General Antonio León,General Pedro Antonio de los Santos,San Miguel Chapultepec,Miguel Hidalgo,19.412776,-99.182805,Arroyo,Instalada
Ecobici,186,Gob. Gregorio V. Gelati,Gral. Francisco Molinos del Campo,San Miguel Chapultepec,Miguel Hidalgo,19.412455,-99.188489,Arroyo,Instalada
Ecobici,187,General Cano,Gobernador Gregorio V. Gelati,San Miguel Chapultepec,Miguel Hidalgo,19.411227,-99.185514,Arroyo,Instalada
Ecobici,188,Gobernador Melchor Múzquiz,Gobernador Ignacio Esteva,San Miguel Chapultepec,Miguel Hidalgo,19.411711,-99.190139,Arroyo,Instalada
Ecobici,189,Gobernador Rafael Rebollar,Gobernador José Ceballos,San Miguel Chapultepec,Miguel Hidalgo,19.410036,-99.187978,Arroyo,Instalada
Ecobici,190,Gobernador Ignacio Esteva,Maestro José Vasconcelos,San Miguel Chapultepec,Miguel Hidalgo,19.409577,-99.183818,Arroyo,Instalada
Ecobici,191,Gobernador Rafael Rebollar,Gobernado Vicente Eguía,San Miguel Chapultepec,Miguel Hidalgo,19.40796,-99.187901,Arroyo,Instalada
Ecobici,194,Circuito Mahatma Gandhi,Reforma,Bosque de Chapultepec,Miguel Hidalgo,19.424282,-99.180334,Banqueta,Instalada
Ecobici,195,Reforma,Mahatma Gandhi,Bosque de Chapultepec,Miguel Hidalgo,19.424858,-99.185181,Camellón,Instalada
Ecobici,196,Lago Tanganica,Ejército Nacional,Granada,Miguel Hidalgo,19.438349,-99.192904,Arroyo,Instalada
Ecobici,197,Presa Falcon,Blv. Miguel de Cervantes,Irrigacion,Miguel Hidalgo,19.440439,-99.205316,Arroyo,Pendiente
Ecobici,198,Sócrates,Ejército Nacional,Polanco,Miguel Hidalgo,19.438168,-99.203888,Arroyo,Instalada
Ecobici,199,Anatole France,Ejército Nacional,Polanco,Miguel Hidalgo,19.437934,-99.197241,Arroyo,Instalada
Ecobici,200,Emerson,Ejército Nacional,Polanco,Miguel Hidalgo,19.437596,-99.188785,Arroyo,Instalada
Ecobici,201,Lope de Vega,Ejército Nacional,Polanco,Miguel Hidalgo,19.437431,-99.187215,Arroyo,Instalada
Ecobici,202,Calderón de la Barca,Homero,Polanco,Miguel Hidalgo,19.436064,-99.198898,Arroyo,Instalada
Ecobici,203,Tennyson,Homero,Polanco,Miguel Hidalgo,19.435985,-99.194832,Arroyo,Instalada
Ecobici,204,Temístocles,Homero,Polanco,Miguel Hidalgo,19.435882,-99.19152,Arroyo,Instalada
Ecobici,205,Taine,Homero,Polanco,Miguel Hidalgo,19.435525,-99.184713,Arroyo,Instalada
Ecobici,206,Av. Homero,Av. Moliere,Polanco,Miguel Hidalgo,19.436142,-99.200996,Arroyo,Instalada
Ecobici,207,Torquato Tasso,Homero,Polanco,Miguel Hidalgo,19.434861,-99.183322,Arroyo,Instalada
Ecobici,208,Hesiodo,Lamartine,Polanco,Miguel Hidalgo,19.434182,-99.189835,Arroyo,Instalada
Ecobici,209,Solón,Horacio,Polanco,Miguel Hidalgo,19.435478,-99.206359,Arroyo,Instalada
Ecobici,210,Eugenio Sue,Horacio,Polanco,Miguel Hidalgo,19.434076,-99.194091,Arroyo,Instalada
Ecobici,211,Isaac Newton,Horacio,Polanco,Miguel Hidalgo,19.433607,-99.188528,Arroyo,Instalada
Ecobici,212,Hegel,Horacio,Polanco,Miguel Hidalgo,19.433567,-99.188096,Arroyo,Instalada
Ecobici,213,Solón,Cicerón,Polanco,Miguel Hidalgo,19.434361,-99.206342,Arroyo,Instalada
Ecobici,214,Platón,Horacio,Polanco,Miguel Hidalgo,19.434353,-99.20322,Arroyo,Instalada
Ecobici,215,Edgar Alan Poe,Horacio,Polanco,Miguel Hidalgo,19.43384,-99.19968,Arroyo,Instalada
Ecobici,216,Alejandro Dumas,Horacio,Polanco,Miguel Hidalgo,19.433419,-99.195746,Arroyo,Instalada
Ecobici,217,Euler,Av. Horacio,Polanco,Miguel Hidalgo,19.432888,-99.183605,Arroyo,Instalada
Ecobici,218,Hegel,Ibarbourou,Polanco,Miguel Hidalgo,19.432451,-99.188033,Arroyo,Instalada
Ecobici,219,Esopo,Ferrocarril de Cuernavaca,Polanco,Miguel Hidalgo,19.433542,-99.207808,Arroyo,Instalada
Ecobici,220,Plinio,Presidente Masaryk,Polanco,Miguel Hidalgo,19.432655,-99.205727,Arroyo,Instalada
Ecobici,221,Emilio Castelar,Presidente Masaryk,Polanco,Miguel Hidalgo,19.431799,-99.201565,Arroyo,Instalada
Ecobici,222,Alejandro Dumas,Presidente Masaryk,Polanco,Miguel Hidalgo,19.431417,-99.195774,Arroyo,Instalada
Ecobici,223,Isaac Newton,Presidente Masaryk,Polanco,Miguel Hidalgo,19.431242,-99.191613,Arroyo,Instalada
Ecobici,224,Hegel,Presidente Masaryk,Polanco,Miguel Hidalgo,19.431255,-99.188065,Arroyo,Instalada
Ecobici,225,Petrarca,Presidente Masaryk,Polanco,Miguel Hidalgo,19.431172,-99.185612,Arroyo,Instalada
Ecobici,226,Wallon,Presidente Masaryk,Polanco,Miguel Hidalgo,19.431033,-99.18222,Arroyo,Instalada
Ecobici,227,Campos Elíseos,Periférico,Polanco,Miguel Hidalgo,19.431791,-99.207373,Arroyo,Instalada
Ecobici,228,Campos Elíseos,La Fontaine,Polanco,Miguel Hidalgo,19.427705,-99.19912,Arroyo,Instalada
Ecobici,229,Carlos Dickens,Séneca,Polanco,Miguel Hidalgo,19.430515,-99.203331,Banqueta,Instalada
Ecobici,230,Edgar Allan Poe,Carlos Dickens,Polanco,Miguel Hidalgo,19.430098,-99.200074,Banqueta,Instalada
Ecobici,231,Isaac Newton,Aristóteles,Polanco,Miguel Hidalgo,19.42977,-99.19349,Arroyo,Instalada
Ecobici,232,Taine,Rubén Darío,Polanco,Miguel Hidalgo,19.42894,-99.185389,Arroyo,Instalada
Ecobici,233,Julio Verne,Luis G. Urbina,Polanco,Miguel Hidalgo,19.429314,-99.196965,Arroyo,Instalada
Ecobici,234,Tres Picos,Arquímedes,Polanco,Miguel Hidalgo,19.42783,-99.191539,Arroyo,Instalada
Ecobici,239,Rincón del Bosque,Rubén Darío,Polanco,Miguel Hidalgo,19.430153,-99.181355,Arroyo,Instalada
Ecobici,240,Ejército Nacional,Ferrocarril de Cuernavaca,Polanco,Miguel Hidalgo,19.438551,-99.206298,Camellón,Instalada
Ecobici,241,Ejército Nacional,Juan Vázquez de la Mella,Polanco,Miguel Hidalgo,19.438616,-99.207577,Camellón,Instalada
Ecobici,242,Av. Moliere,Blv. Miguel de Cervantes,Polanco,Miguel Hidalgo,19.440195,-99.200715,Arroyo,Instalada
Ecobici,243,Lago Filt,Blv. Miguel de Cervantes,Granada,Miguel Hidalgo,19.441123,-99.195857,Arroyo,Instalada
Ecobici,244,Lago Victoria,Blv. Miguel de Cervantes,Granada,Miguel Hidalgo,19.440508,-99.193681,Arroyo,Instalada
Ecobici,245,Lago Onega,Ejército Nacional,Granada,Miguel Hidalgo,19.438347,-99.190503,Arroyo,Instalada
Ecobici,246,Leibnitz,Thiers,Anzures,Miguel Hidalgo,19.434147,-99.179835,Arroyo,Instalada
Ecobici,247,Herschel,Rousseau,Anzures,Miguel Hidalgo,19.432276,-99.18064,Arroyo,Instalada
Ecobici,248,Shakespeare,Lafayette,Anzures,Miguel Hidalgo,19.43175,-99.177399,Arroyo,Instalada
Ecobici,249,Shakespeare,Darwin,Anzures,Miguel Hidalgo,19.429877,-99.177569,Arroyo,Instalada
Ecobici,250,Darwin,Mariano Escobedo,Anzures,Miguel Hidalgo,19.428949,-99.179796,Banqueta,Instalada
Ecobici,251,Goethe,Darwin,Anzures,Miguel Hidalgo,19.429261,-99.17538,Arroyo,Instalada
Ecobici,252,Víctor Hugo,Shakespeare,Anzures,Miguel Hidalgo,19.427575,-99.17702,Arroyo,Instalada
Ecobici,253,Dante,Tolstoi,Anzures,Miguel Hidalgo,19.4264486,-99.1781433,Arroyo,Instalada
Ecobici,254,Alfonso Herrera,Miguel Schultz,San Rafael,Cuauhtémoc,19.439347,-99.160074,Arroyo,Instalada
Ecobici,255,José Rosas Moreno,Guillermo Prieto,San Rafael,Cuauhtémoc,19.437118,-99.161862,Arroyo,Instalada
Ecobici,256,Gómez Farías,Sadi Carnot,San Rafael,Cuauhtémoc,19.437167,-99.158313,Arroyo,Instalada
Ecobici,257,Manuel María Conteras,Villalongín,San Rafael,Cuauhtémoc,19.433803,-99.166223,Arroyo,Instalada
Ecobici,258,Circuito Interior,Juan Escutia,Condesa,Cuauhtémoc,19.4165298,-99.1790435,Banqueta,Instalada
Ecobici,259,Tomás Alva Edison,Ponciano Arriaga,Tabacalera,Cuauhtémoc,19.437569,-99.15468,Arroyo,Instalada
Ecobici,260,Juárez,Balderas,Centro,Cuauhtémoc,19.4352787,-99.1477913,Banqueta,Instalada
Ecobici,261,Reforma,Río de la Plata,Cuauhtémoc,Cuauhtémoc,19.42491,-99.172455,Camellón,Instalada
Ecobici,262,República de Cuba,República de Brasil,Centro,Cuauhtémoc,19.436931,-99.133952,Arroyo,Instalada
Ecobici,263,Sadi Carnot,Gómez Farías,San Rafael,Cuauhtémoc,19.436274,-99.158425,Arroyo,Instalada
Ecobici,265,Mina,Jesús García,Buenavista,Cuauhtémoc,19.440839,-99.152265,Arroyo,Instalada
Ecobici,270,De la República,Ponciano Arriaga,Tabacalera,Cuauhtémoc,19.436764,-99.153865,Banqueta,Instalada
Ecobici,276,Anaxágoras,Obrero Mundial,Narvarte Poniente,Benito Juárez,19.401986,-99.156366,Arroyo,Instalada
Ecobici,277,Prolongación Tonalá,Obrero Mundial,Narvarte Poniente,Benito Juárez,19.401807,-99.15909,Arroyo,Instalada
Ecobici,278,Mier y Pesado,Obrero Mundial,Del Valle Norte,Benito Juárez,19.40071,-99.163831,Arroyo,Instalada
Ecobici,279,La Morena,Providencia,Del Valle Norte,Benito Juárez,19.399908,-99.166553,Arroyo,Instalada
Ecobici,280,Anaxágoras,Obrero Mundial,Narvarte Poniente,Benito Juárez,19.4015,-99.156406,Arroyo,Instalada
Ecobici,281,Pitágoras,La Morena,Narvarte Poniente,Benito Juárez,19.398532,-99.157308,Arroyo,Instalada
Ecobici,282,La Morena,Eje 2 Poniente Gabriel Mancera,Del Valle Norte,Benito Juárez,19.398692,-99.161273,Arroyo,Instalada
Ecobici,283,Av. Coyoacán,Rafael Dondé,Del Valle Norte,Benito Juárez,19.397923,-99.167248,Arroyo,Instalada
Ecobici,284,Dakota,Vermont,Nápoles,Benito Juárez,19.397693,-99.172981,Arroyo,Instalada
Ecobici,285,12 de Octubre,Minería,Escandón,Miguel Hidalgo,19.399763,-99.177538,Arroyo,Instalada
Ecobici,286,13 de Septiembre,Avenida Patriotismo,Escandón,Miguel Hidalgo,19.399201,-99.179943,Arroyo,Instalada
Ecobici,287,13 de Septiembre,Puente de la Morena,Escandón,Miguel Hidalgo,19.398946,-99.183254,Arroyo,Instalada
Ecobici,288,11 de Abril,Avenida 2,San Pedro de los Pinos,Benito Juárez,19.396359,-99.183579,Arroyo,Instalada
Ecobici,290,Yosemite,Colorado,Nápoles,Benito Juárez,19.396333,-99.172667,Arroyo,Instalada
Ecobici,291,Magdalena,División del Norte,Del Valle Norte,Benito Juárez,19.397651,-99.169946,Arroyo,Instalada
Ecobici,292,Adolfo Prieto,Eje 4 Sur Xola,Del Valle Norte,Benito Juárez,19.396917,-99.166264,Arroyo,Instalada
Ecobici,293,Mier y Pesado,Eje 4 Sur Xola,Del Valle Norte,Benito Juárez,19.397373,-99.164598,Arroyo,Instalada
Ecobici,294,Nicolás San Juan,Eje 4 Sur Xola,Narvarte Poniente,Benito Juárez,19.396513,-99.160924,Arroyo,Instalada
Ecobici,295,Anaxágoras,Eje 4 Sur Xola,Narvarte Poniente,Benito Juárez,19.396328,-99.156871,Arroyo,Instalada
Ecobici,296,Diagonal San Antonio,Enrique Rébsamen,Narvarte Poniente,Benito Juárez,19.394283,-99.158756,Arroyo,Instalada
Ecobici,297,Diagonal San Antonio,Enrique Rébsamen,Narvarte Poniente,Benito Juárez,19.394412,-99.158907,Arroyo,Instalada
Ecobici,298,Romero de Terreros,Gabriel Mancera,Del Valle Norte,Benito Juárez,19.394092,-99.162139,Arroyo,Instalada
Ecobici,299,Romero de Terreros,Mier y Pesado,Del Valle Norte,Benito Juárez,19.394601,-99.165054,Arroyo,Instalada
Ecobici,300,Providencia,Luz Saviñon,Del Valle Norte,Benito Juárez,19.3932287,-99.1684308,Arroyo,Instalada
Ecobici,301,Luz Saviñón,Magdalena,Del Valle Norte,Benito Juárez,19.393807,-99.171133,Arroyo,Instalada
Ecobici,302,Luz Saviñón,Magdalena,Del Valle Norte,Benito Juárez,19.393832,-99.171466,Arroyo,Instalada
Ecobici,303,Montecito,Av. Insurgentes,Nápoles,Benito Juárez,19.394842,-99.173025,Arroyo,Instalada
Ecobici,304,Montecito,Dakota,Nápoles,Benito Juárez,19.395043,-99.173821,Arroyo,Instalada
