,address,districtName,id,location,name,nearbyStations,lat,lon
101,363 - Holbein-Paulo Ucello,Ciudad de los Deportes,363,"{'lat': 19.380813, 'lon': -99.183851}",363 HOLBEIN-PAULO UCELLO,"[362, 367]",19.380813,-99.183851
102,353 - Carolina-Holbein,Ciudad de los Deportes,353,"{'lat': 19.382168, 'lon': -99.178808}",353 CAROLINA-HOLBEIN,"[361, 362]",19.382168,-99.178808
103,262 - Republica de Cuba-Republica de Brasil,Centro,262,"{'lat': 19.43693, 'lon': -99.13395}",262 REPUBLICA DE CUBA-REPUBLICA DE BRASIL ,"[91, 92, 93]",19.43693,-99.13395
104,260 - Av. Juárez-Balderas,Centro,260,"{'lat': 19.435354, 'lon': -99.147742}",260 AV JUAREZ-BALDERAS ,"[29, 41]",19.435354,-99.147742
105,105 - San Jerónimo-5 de Febrero,Centro,105,"{'lat': 19.426755, 'lon': -99.135014}",105 SAN JERONIMO-5 DE FEBRERO,"[101, 104, 106]",19.426755,-99.135014
106,106 - San Jerónimo-José María Pino Suarez,Centro,106,"{'lat': 19.42649, 'lon': -99.133537}",106 SAN JERONIMO-JOSE MARIA PINO SUAREZ,"[100, 101, 105]",19.42649,-99.133537
107,107 - Tolsa-Balderas,Centro,107,"{'lat': 19.427329, 'lon': -99.149971}",107 TOLSA-BALDERAS,"[98, 108, 122]",19.427329,-99.149971
108,108 - Tolsa-Balderas,Centro,108,"{'lat': 19.427305, 'lon': -99.149533}",108 TOLSA-BALDERAS,"[98, 107, 122]",19.427305,-99.149533
109,109 - Nezahualcóyotl-Isabel la Católica,Centro,109,"{'lat': 19.425311, 'lon': -99.137421}",109 NEZAHUALCOYOTL-ISABEL LA CATOLICA,"[104, 105, 106]",19.425311,-99.137421
110,065 - Marconi - Tacuba,Centro,65,"{'lat': 19.436142, 'lon': -99.139906}",65 MARCONI-TACUBA,"[52, 55]",19.436142,-99.139906
111,087 - Gante - Venustiano Carranza,Centro,87,"{'lat': 19.43182, 'lon': -99.13974}",87 GANTE-VENUSTIANO CARRANZA,"[88, 95, 96]",19.43182,-99.13974
112,089 - República de Guatemala - Monte de Piedad,Centro,89,"{'lat': 19.434946, 'lon': -99.133989}",89 REPUBLICA DE GUATEMALA-MONTE DE PIEDAD,"[88, 90]",19.434946,-99.133989
113,090 - José María Pino Suárez - Corregidora,Centro,90,"{'lat': 19.431698, 'lon': -99.132446}",90 JOSE MARIA PINO SUAREZ-CORREGIDORA,"[88, 89]",19.431698,-99.132446
114,091 - Republica de Cuba-Allende,Centro,91,"{'lat': 19.4374, 'lon': -99.137571}",91 REPUBLICA DE CUBA-ALLENDE,"[90, 92, 93]",19.4374,-99.137571
115,092 - San Ildefonso-República de Argentina,Centro,92,"{'lat': 19.436531, 'lon': -99.131497}",92 SAN ILDEFONSO-REPUBLICA DE ARGENTINA,"[90, 91, 93]",19.436531,-99.131497
116,093 - Palma Norte-Republica de Cuba,Centro,93,"{'lat': 19.436741, 'lon': -99.134811}",93 PALMA NORTE-REPUBLICA DE CUBA,"[90, 91, 92]",19.436741,-99.134811
117,94 - Lic. Verdad-Moneda,Centro,94,"{'lat': 19.433766, 'lon': -99.130918}",94 LIC. VERDAD-MONEDA,[94],19.433766,-99.130918
118,095 - 20 de Noviembre-Venustiano Carranza,Centro,95,"{'lat': 19.430722, 'lon': -99.133698}",95 20 DE NOVIEMBRE-VENUSTIANO CARRANZA,"[93, 96, 97]",19.430722,-99.133698
119,096 - López-Ayuntamiento,Centro,96,"{'lat': 19.430625, 'lon': -99.14248}",96 LOPEZ-AYUNTAMIENTO,[98],19.430625,-99.14248
120,097 - Republica de Salvador-Pino Suarez,Centro,97,"{'lat': 19.429189, 'lon': -99.132759}",97 REPUBLICA DE SALVADOR-PINO SUAREZ,"[90, 100]",19.429189,-99.132759
121,098 - Emilio Dondé-Av. Balderas,Centro,98,"{'lat': 19.430267, 'lon': -99.14861}",98 EMILIO DONDE-AV. BALDERAS,"[107, 108]",19.430267,-99.14861
122,99 - Ernesto Pugibet-Luis Moya,Centro,99,"{'lat': 19.42995, 'lon': -99.14591}",99 ERNESTO PUGIBET-LUIS MOYA,"[96, 98, 122]",19.42995,-99.14591
123,100 - 20 de Noviembre-Mesones,Centro,100,"{'lat': 19.428485, 'lon': -99.1338}",100 20 DE NOVIEMBRE-MESONES,"[95, 97, 101]",19.428485,-99.1338
124,1ER. CALLEJÓN DE MESONES - MESONES,Centro,101,"{'lat': 19.428366, 'lon': -99.135895}",101 1ER. CALLEJÓN DE MESONES-MESONES,"[100, 104, 105]",19.428366,-99.135895
125,082 - Independencia - Marroquí,Centro,82,"{'lat': 19.433115, 'lon': -99.143686}",82 INDEPENDENCIA-MARROQUI,[82],19.433115,-99.143686
126,052 - Dolores - Juárez,Centro,52,"{'lat': 19.436236, 'lon': -99.142039}",52 HIDALGO-TRUJANO,[52],19.436236,-99.142039
127,048 - Independencia - Azueta,Centro,48,"{'lat': 19.433686, 'lon': -99.146557}",48 INDEPENDENCIA-AZUETA,[82],19.433686,-99.146557
128,043 - Revillagigedo - Juárez,Centro,43,"{'lat': 19.435228, 'lon': -99.146063}",43 JUAREZ-REVILLAGIGEDO,"[52, 82]",19.435228,-99.146063
129,029 - Reforma - Bucareli,Centro,29,"{'lat': 19.434913, 'lon': -99.149939}",29 REFORMA-BUCARELI,[41],19.434913,-99.149939
130,192 - Rubén Darío-Reforma,Bosque de Chapultepec,192,"{'lat': 19.42592, 'lon': -99.190755}",192 RUBEN DARIO-REFORMA,"[193, 234, 238]",19.42592,-99.190755
131,193 - Rubén Darío.Reforma,Bosque de Chapultepec,193,"{'lat': 19.425907, 'lon': -99.190733}",193 RUBEN DARIO-REFORMA,"[192, 234, 238]",19.425907,-99.190733
132,194 - Av. Paseo de la Reforma-Circuito Mahatma Gandhi,Bosque de Chapultepec,194,"{'lat': 19.424282, 'lon': -99.180334}",194 CTO MAHATMA GANDHI-AV. PASEO DE LA REFORMA,"[195, 253, 261]",19.424282,-99.180334
133,195 - Circuito Mahatma Gandhi-Av. Paseo de la Reforma,Bosque de Chapultepec,195,"{'lat': 19.424926, 'lon': -99.185147}",195 AV. PASEO DE LA REFORMA-CTO MAHATMA GANDHI,"[194, 253, 261]",19.424926,-99.185147
134,258 - Circuito Interior-Juan Escutia,Condesa,258,"{'lat': 19.4167, 'lon': -99.1791}",258 CIRCUITO INTERIOR-JUAN ESCUTIA ,"[36, 49, 53]",19.4167,-99.1791
135,049 - Mazatlán - Juan de la Barrera,Condesa,49,"{'lat': 19.416712, 'lon': -99.175704}",49 MAZATLAN-JUAN DE LA BARRERA,"[41, 50, 60]",19.416712,-99.175704
136,050 - Cuernavaca - Veracruz,Condesa,50,"{'lat': 19.416938, 'lon': -99.173648}",50 CUERNAVACA-VERACRUZ,"[49, 57, 58]",19.416938,-99.173648
137,053 - Fernando Montes de Oca - Tula,Condesa,53,"{'lat': 19.414773, 'lon': -99.178433}",53 FERNANDO MONTES DE OCA-TULA,"[52, 60, 65, 66]",19.414773,-99.178433
138,054 - Parque España - Sonora,Condesa,54,"{'lat': 19.416215, 'lon': -99.170825}",54 PARQUE ESPAÑA-SONORA,"[50, 51, 58, 63]",19.416215,-99.170825
139,058 - Parque España - Juan de la Barrera,Condesa,58,"{'lat': 19.41568, 'lon': -99.171793}",58 PARQUE ESPAÑA-JUAN DE LA BARRERA,"[50, 54, 61, 63]",19.41568,-99.171793
140,067 - Vicente Suárez - Michoacan,Condesa,67,"{'lat': 19.411797, 'lon': -99.17588}",67 VICENTE SUAREZ-MICHOACAN,"[62, 66, 68]",19.411797,-99.17588
141,068 - Tamaulipas - Michoacan,Condesa,68,"{'lat': 19.411556, 'lon': -99.17406}",68 TAMAULIPAS-MICHOACAN,"[67, 74]",19.411556,-99.17406
142,060 - Mazatlán - Fernando Montes de Oca,Condesa,60,"{'lat': 19.414191, 'lon': -99.177123}",60 MAZATLAN-FERNANDO MONTES DE OCA,"[23, 52, 62, 66]",19.414191,-99.177123
143,062 - Fernando Montes de Oca - Amatlan,Condesa,62,"{'lat': 19.413322, 'lon': -99.175202}",62 FERNANDO MONTES DE OCA-AMATLAN,"[67, 74]",19.413322,-99.175202
144,011 - Río Amazonas - Rio Lerma,Cuauhtémoc,11,"{'lat': 19.430992, 'lon': -99.163593}",11 RIO AMAZONAS-RIO LERMA,"[3, 12, 19]",19.430992,-99.163593
145,020 - Reforma- Rio Tamesis,Cuauhtémoc,20,"{'lat': 19.430964, 'lon': -99.160206}",20 REFORMA-RIO TAMESIS,"[12, 19, 27]",19.430964,-99.160206
146,018 - Reforma - Rio Sena,Cuauhtémoc,18,"{'lat': 19.42836, 'lon': -99.165543}",18 REFORMA-RIO SENA,"[17, 25]",19.42836,-99.165543
147,014 - Reforma - Rio de Plata,Cuauhtémoc,14,"{'lat': 19.424768, 'lon': -99.173261}",14 REFORMA-RIO DE PLATA,"[13, 21, 22, 28]",19.424768,-99.173261
148,015 - Reforma - Rio Mississippi,Cuauhtémoc,15,"{'lat': 19.425477, 'lon': -99.171567}",15 REFORMA-RIO MISSISSIPPI,"[14, 16, 22, 23]",19.425477,-99.171567
149,004 - Río Nilo - Río Panuco,Cuauhtémoc,4,"{'lat': 19.428309, 'lon': -99.171713}",4 RIO NILO-RIO PANUCO,"[5, 8, 9, 10]",19.428309,-99.171713
150,005 - Río Pánuco Río Tiber,Cuauhtémoc,5,"{'lat': 19.42972, 'lon': -99.169363}",5 RIO PANUCO-RIO TIBER,"[2, 4, 9, 10]",19.42972,-99.169363
151,006 - Río Pánuco - Río Sena,Cuauhtémoc,6,"{'lat': 19.430922, 'lon': -99.166959}",6 RIO PANUCO-RIO SENA,"[1, 3, 5, 10]",19.430922,-99.166959
152,007 - Río Elba - Río Lerma,Cuauhtémoc,7,"{'lat': 19.425468, 'lon': -99.175166}",7 RIO ELBA-RIO LERMA,"[13, 14, 21, 28]",19.425468,-99.175166
153,001 - Río Balsas-Río Sena,Cuauhtémoc,1,"{'lat': 19.433296, 'lon': -99.168051}",1 RIO BALSAS-RIO SENA,"[2, 3, 85]",19.433296,-99.168051
154,002 - Río Guadalquivir - Río Balsas,Cuauhtémoc,2,"{'lat': 19.431386, 'lon': -99.171695}",2 RIO GUADALQUIVIR-RIO BALSAS,"[1, 5]",19.431386,-99.171695
155,009 - Río Guadalquivir - Río Lerma,Cuauhtémoc,9,"{'lat': 19.428009, 'lon': -99.169918}",9 RIO GUADALQUIVIR-RIO LERMA,"[4, 5, 8, 16]",19.428009,-99.169918
156,104 - San Jerónimo-Isabel la Católica,Cuauhtémoc,104,"{'lat': 19.427059, 'lon': -99.137116}",104 SAN JERONIMO-ISABEL LA CATOLICA,"[101, 105, 109]",19.427059,-99.137116
157,124 - Claudio Bernard-Dr. Liceaga,Doctores,124,"{'lat': 19.422392, 'lon': -99.150358}",124 CLAUDIO BERNARD-DR. LICEAGA,"[119, 123, 133]",19.422392,-99.150358
158,122 - José María Vértiz-Av. Dr. Río de la Loza,Doctores,122,"{'lat': 19.425502, 'lon': -99.146337}",122 JOSE MARIA VERTIZ-AV.DR. RIO DE LA LOZA,"[99, 108, 110]",19.425502,-99.146337
159,357 - Matias Romero -Amores,Del Valle Centro,357,"{'lat': 19.380598, 'lon': -99.1669248}",357 MATIAS ROMERO -AMORES,"[356, 358, 373]",19.380598,-99.1669248
160,358 - Nicolas San Juan-Matias Romero,Del Valle Centro,358,"{'lat': 19.380168, 'lon': -99.164222}",358 NICOLAS SAN JUAN-MATIAS ROMERO ,"[357, 360, 373]",19.380168,-99.164222
161,359 - Matias Romero -Pestallozzi,Del Valle Centro,359,"{'lat': 19.379269, 'lon': -99.161169}",359 MATIAS ROMERO -PESTALLOZZI,"[342, 360, 374]",19.379269,-99.161169
162,360 - Heriberto Frías-Matias Romero,Del Valle Centro,360,"{'lat': 19.3790279, 'lon': -99.1628259}",360 HERIBERTO FRÍAS-MATIAS ROMERO,"[358, 359, 374]",19.3790279,-99.1628259
163,324 - Amores-Avenida Eugenia,Del Valle Centro,324,"{'lat': 19.3872468, 'lon': -99.1656554}",324 AMORES-AVENIDA EUGENIA,"[323, 336, 337]",19.3872468,-99.1656554
164,343 - Enrique Rébsamen-División Del Norte,Del Valle Centro,343,"{'lat': 19.384099, 'lon': -99.160826}",343 ENRIQUE RÉBSAMEN-DIVISIÓN DEL NORTE,"[338, 341, 344]",19.384099,-99.160826
